state,city,WARD_NO,ward_name,area_km2,tot_p,tot_m,tot_f,p_06,no_hh,sexratio,p_lit,p_ill,p_sc,p_st,tot_work_p,mainwork_p,margwork_p,non_work_p,LST_mean,LST_min,LST_max,LST_hotspot,heat_score,UHI_all_mean,UHI_all_stdDev,UHI_built_mean,nighttemp_hotspot,ndvi_mean,nightLST_mean,treeProb_mean,vegDeficit_mean,dwBuiltProb_mean,ghslDensity_mean,dimness_mean,totalPop,popDensity,riskScore,popAtRisk,exposureRate,pop_priority_level,builtAlbedo_mean,builtAlbedo_min,builtAlbedo_max,coolRoofPriorityScore,darkRoofArea_km2,potentialCooling_C,estimatedCost_Lakhs,builtFrac_pct,coolroof_priority_level,treePriorityScore,currentCanopy_pct,canopyDeficit_ha,treesNeeded,saplingsToPlant,totalCost_Lakhs,greeningUrgency,popInLowCanopy,tree_priority_level,activityHeatScore,dayLST,nightLST,avgLST_24h,ntl_mean,activity_priority_level,informalHousingScore,buildingDensity,vegetationDeficit,nightlightDimness,informal_priority_level,riskIndex,hazardIndex,exposureIndex,vulnerabilityIndex,priority_level
Uttar Pradesh,Agra,82,Agra (M Corp.) WARD NO.-0082,1.1002314301909406,19618.0,10326.0,9292.0,2272.0,3660,900.0,14345.0,5273,1229,24,6320,4897,1423,13298,46.20691363298038,38.79726746,49.96735682000002,0.8783839906746138,47.81685353671842,5.549056911377448,1.545417851366243,5.9444990586778035,0.18268091338422693,0.2140129640003258,20.019064389768772,0.0,86.71599337130338,45.41895230313549,48.37040192036214,64.29331791362752,12353.389879312701,11227.992166310702,162.63513110708016,12353.389879312701,100,Medium,0.19114488984126027,0.0835508,0.3595574999999999,43.87936205827118,0.1568334736960724,13.62850367195799,297.98360002253753,65.47505881223289,Low,190.20769836657118,0.0,18.841091132958237,2827.0,3817.0,53.438,CRITICAL,12313.987063826766,High,104.12956367499572,32.95238142278191,20.198378081729174,26.575379752255543,24.71479253123006,Low,56.4653660998775,49.13061741078066,79.34359555841564,58.766808319833785,Medium,2.589611171468409,1.0960293265728422,9.421766734711465,1.681702451568439,Low
Uttar Pradesh,Agra,38,Agra (M Corp.) WARD NO.-0038,0.6050482169899026,15243.0,8230.0,7013.0,1871.0,2672,852.0,10475.0,4768,8115,60,3931,3519,412,11312,46.764818349772504,45.52393082000003,48.95562289999998,1.436288707466737,47.735091838931766,6.106961628169489,0.5317932473045428,6.067536709295311,0.04813712837955136,0.1779031925776684,20.170950166973757,0.0,93.66040861115063,46.947482319842536,53.28120696162685,82.02488099618506,5071.237983329624,8381.543554592865,201.51481045645832,5071.237983329624,100,High,0.19666347725735608,0.0951049,0.31291389999999997,52.36314860975979,0.1143510390918623,13.444550758088127,217.26697427453837,91.4463321053267,Low,200.00340165975595,0.0,10.960845426780377,1645.0,2221.0,31.094,CRITICAL,5259.12183046528,High,107.66761583434581,34.29521258831089,20.063834296724504,27.1795234425177,20.937026844468228,Low,73.25933767152962,62.048834734213244,95.42220965607287,69.12745492258887,High,2.7815938243189944,1.2305520253473983,8.53153741601978,2.05,Low
Uttar Pradesh,Agra,13,Agra (M Corp.) WARD NO.-0013,0.5332724745165089,13443.0,7105.0,6338.0,1474.0,2465,892.0,8655.0,4788,6945,0,4312,3192,1120,9131,45.461989807798005,43.49704496000004,48.39506762000002,0.13346016549223805,46.93674577328857,4.804133086194988,1.0108674074209958,4.840629695008314,1.0690865618138141,0.24741458892537682,21.08698640455662,0.08723498096026483,68.75151472974335,58.75864232219291,46.21858891185574,50.257099619269205,5567.919630342371,10441.040736990075,123.84314915725298,5567.919630342371,100,Low,0.1605625046063231,0.07864538000000001,0.28433709999999995,59.055848186752954,0.10565010590057201,14.647916513122562,200.73520121108686,71.04134907908936,Medium,158.17694287672163,0.03307588821992023,8.184144747255845,1228.0,1658.0,23.212,CRITICAL,5589.270952172371,Low,158.27649787549552,34.4562453703704,21.084783730158765,27.77051455026458,29.347968632011973,Medium,50.35964967471135,51.42838864219957,70.61118162376363,40.722226554074965,Low,2.9531009606403753,1.274021238787527,8.624956351871663,2.3436961719844023,Medium
Uttar Pradesh,Agra,54,Agra (M Corp.) WARD NO.-0054,1.2269296080971386,15174.0,7822.0,7352.0,1636.0,2564,940.0,9755.0,5419,2440,0,5300,4140,1160,9874,45.570896286262624,38.78188637000005,51.39608917999999,0.24236664395685636,47.90339059303365,4.913039564659651,1.8733196304424542,5.1148273978469625,1.1724953199179902,0.20407265274635344,21.069178448824506,0.02942870323356047,86.3120202513686,33.57093331981221,60.0009390217204,50.908866388808256,11959.479451422594,9747.486222922527,134.02544329607585,11959.479451422594,100,Medium,0.17253359798806728,0.07149760000000001,0.3486975,34.02391579342448,0.155179546009578,14.248880067064423,294.84113741819823,49.61227098910856,Low,167.28043836183906,0.04394806390693346,20.69838908732912,3105.0,4192.0,58.688,CRITICAL,12089.87431262147,Low,143.33400017782446,33.21447149564054,21.18819248826294,27.20133199195174,27.949695054780356,Medium,51.80009533749778,53.32569702775527,90.03332840657507,44.833157372095705,Low,2.9780614232827,1.3658930282661137,9.389363114612712,2.059435191477786,High
Uttar Pradesh,Agra,31,Agra (M Corp.) WARD NO.-0031,0.8651993497971513,11580.0,6245.0,5335.0,1666.0,1867,854.0,6971.0,4609,4126,1,3896,2464,1432,7684,47.47625400050626,45.14794862000002,50.03571722000004,2.1477243582004917,48.80912300315189,6.8183972789033085,1.0522641567047033,5.954159092483371,-0.44086618656948356,0.2471468170028292,19.414680571126546,0.006768166716072541,77.73801050835205,37.99661392160047,38.84720606810533,93.64427977109952,6339.640318777048,7327.375269368148,163.7399342077742,6339.640318777048,100,Medium,0.1783841372319547,0.081646275,0.2555737,NaN,0.06521693693472706,14.053862092268176,123.9121801759814,30.990172390244762,Low,204.63611546298753,0.0,11.813614514068245,1773.0,2394.0,33.516,CRITICAL,5266.597431152943,High,33.192113355450346,34.58574862825792,19.574830981775467,27.08028980501669,12.404727731020222,Low,47.96947147973015,25.91528152193993,80.3212987869087,88.29408834436148,Low,2.5560397009288796,1.05,8.754735038983984,1.8166467216424187,Low
Uttar Pradesh,Agra,85,Agra (M Corp.) WARD NO.-0085,0.28616752693274716,14741.0,8095.0,6646.0,1635.0,2582,821.0,11519.0,3222,1666,1,4619,4081,538,10122,45.88826259385513,42.21528746000001,48.08744582000003,0.5597329515493641,47.037899851356556,5.230405872252221,1.0276420755052567,5.619270898292245,0.3380207803730215,0.2320994136857773,20.417546376282623,1.706259784285369,84.52281683923695,35.810203550810165,56.95437436396522,53.546164869989,4553.745635118672,15912.86643850704,139.869308378052,4553.745635118672,100,Medium,0.17157182939627325,0.07355842500000001,0.25701772,49.81381469688584,0.04379884401186951,14.280939020124224,83.21780362255207,59.58706657621612,Low,172.04061105922,0.3469884573478643,5.182588515223239,778.0,1051.0,14.714,CRITICAL,4587.244771261774,Medium,101.06814396866615,32.63589285714289,20.35371794871797,26.49480540293043,25.857128793132794,Low,52.434544419238335,52.29017294057809,81.65086810066023,47.8480086264409,Low,2.6430533214035616,1.0589125610584291,8.423924965131196,2.069870545084451,Low
Uttar Pradesh,Agra,9,Agra (M Corp.) WARD NO.-0009,0.65373396184159,18288.0,9715.0,8573.0,2391.0,2949,882.0,11210.0,7078,6239,63,5371,4347,1024,12917,46.755084764325964,45.12402248000001,50.45955170000002,1.426555122020197,48.2564675477978,6.097228042722987,0.807375073348994,6.128666799448112,0.5548404660636881,0.19816150481039577,20.42669983682029,0.0,90.23283536356807,51.59425639015712,63.9410147488085,38.35094638563952,8285.940518517587,12674.789749603679,173.39250504899414,8285.940518517587,100,High,0.17313896777135615,0.07654165,0.45648219999999995,81.06535848277181,0.15391959294843388,14.228701074288127,292.4472266020244,92.79714658464923,High,203.15183561995985,0.0,12.119525881343122,1818.0,2455.0,34.37,CRITICAL,8209.311620944154,High,169.69380155773342,34.827725806451646,20.570537634408637,27.69913172043014,34.14911355537639,Medium,56.328062513347966,69.91313812280958,92.76484301305236,30.764167436417758,Medium,3.0673490201313265,1.483400678286526,9.02243612313746,2.1562906337339696,High
Uttar Pradesh,Agra,50,Agra (M Corp.) WARD NO.-0050,0.7318822940560789,15016.0,7896.0,7120.0,1624.0,2749,902.0,8768.0,6248,2746,55,5117,4072,1045,9899,45.0870469477347,43.10055464000004,47.13723626000001,-0.24148269457106863,46.086154048320424,4.42919022613177,0.7707018278749528,4.443079452619726,1.2087414164347894,0.22087212240339035,21.246211465533243,0.042585205193702215,93.5004571165654,66.41344406473067,63.74493277958005,28.290531813905982,11219.568875750374,15329.74491508972,112.12862019495617,11219.568875750374,100,Low,0.16241272248780814,0.07467442,0.41989453333333326,64.4500602779806,0.19578198426584056,14.586242583739729,371.98577010509706,97.2127462888508,Medium,144.33360642390164,0.02988633797524864,14.041080613712438,2107.0,2845.0,39.83,CRITICAL,11224.713217940987,Low,167.1607790352894,33.115242211838044,21.224438584779744,27.169840398308892,37.64596390104181,Medium,49.84854882670761,74.3301643595866,95.85957918446324,22.03024565903412,Low,2.952043870779422,1.2085261012321888,9.325503879729924,2.282653964663689,Medium
Uttar Pradesh,Agra,7,Agra (M Corp.) WARD NO.-0007,3.2525826660864188,19397.0,10318.0,9079.0,2794.0,3007,880.0,10310.0,9087,2221,210,5919,4793,1126,13478,45.66992064515508,42.50240114000002,48.78301289000001,0.34139100284931345,47.05365454348829,5.01206392355217,0.9459265985765196,4.898013460203316,-0.1434556163991849,0.2569879966424564,19.915708435593483,9.194230674741356E-4,67.86417810629119,61.779172253366,33.03289445710103,37.17594456550509,30636.54859595205,9419.14525813256,109.73572560006642,30636.54859595205,100,Low,0.17174040689894518,0.0619782,0.406422375,52.1708471717073,0.5426734784880957,14.275319770035157,1031.0796091273817,65.04147785498144,Low,176.804624016938,0.0,49.6670523416462,7451.0,10059.0,140.826,CRITICAL,30588.460838437553,Medium,129.8555309969934,33.530749438575036,19.872241551945766,26.701495495260403,32.53523730669202,Low,40.37727933226601,40.1111261119912,72.18506545822241,31.256417805414436,Low,2.396767535754891,0.736004120688617,10.329981613994295,1.810914500366292,Low
Uttar Pradesh,Agra,61,Agra (M Corp.) WARD NO.-0061,0.5957161472908271,19760.0,10287.0,9473.0,2136.0,3309,921.0,13773.0,5987,5475,3,6180,4938,1242,13580,45.545794897345615,43.78415863999999,46.93557308000004,0.21726525503984817,46.30930160573696,4.887938175742673,0.685033967049914,4.929303830734233,0.0412377428976807,0.20455119511321027,20.069860501724442,0.0,91.47172169641357,64.23806435503083,56.302103465514385,29.519934775457227,7761.766553183162,13029.303617976107,129.80580703952214,7761.766553183162,100,Medium,0.16601623509404684,0.07973650000000002,0.354648,70.88300305616872,0.1514115697084124,14.466125496865104,287.6819824459836,94.8500396845301,High,163.82046972641652,0.0,11.177480149182681,1677.0,2264.0,31.696,CRITICAL,7892.809362344181,Low,118.26115619231427,32.8717638515331,20.056934911242628,26.464349381387866,35.51277364922699,Low,51.15913594949236,68.33079856520197,94.26962618105364,21.924936712336354,Low,2.499034511356763,0.7843803618789532,8.9570940642265,2.221380290386575,Low
Uttar Pradesh,Agra,44,Agra (M Corp.) WARD NO.-0044,0.17049955576973805,17100.0,9100.0,8000.0,2157.0,2295,879.0,10231.0,6869,4782,2,5495,4822,673,11605,46.18322154820321,45.47949656000003,46.92531902000002,0.8546919058974396,46.56506600220533,5.525364826600276,0.31119602065068236,5.52540968701084,0.307862831655074,0.14120364365667734,20.781552658486735,0.0,99.94215505509487,44.97366859469561,82.86583789926998,32.43857791594142,2392.920989332012,14034.76377711907,158.01907167331524,2392.920989332012,100,Medium,0.16520595285743744,0.09345396666666668,0.23021395,83.33742430564861,0.0455249567069249,14.493134904752083,86.49741774315731,99.04340921453267,High,178.08002502682513,0.0,3.3780911507564095,507.0,685.0,9.59,CRITICAL,2493.289215237486,Medium,120.28259625250526,32.7864166666667,20.323560000000025,26.554988333333363,35.12777617483428,Low,59.69182111648097,86.67458160168475,99.97111756849465,24.463928063181662,Medium,2.7983946712433885,1.1507656345949469,7.7806878819525735,2.4474961494120757,Low
